 ,genotype,time_off_food,bends,food,date,plate
JB,N2_CGC,5,3,OP50,9/1/2022,1
JB,N2_CGC,5,6,OP50,9/1/2022,1
JB,N2_CGC,5,4,OP50,9/1/2022,1
JB,N2_CGC,5,3,OP50,9/1/2022,1
JB,N2_CGC,5,4,OP50,9/1/2022,1
JB,N2_CGC,5,4,OP50,9/1/2022,1
JB,N2_CGC,5,3,OP50,9/1/2022,1
JB,N2_CGC,5,2,OP50,9/1/2022,1
JB,N2_CGC,5,4,OP50,9/1/2022,1
JB,N2_CGC,5,3,OP50,9/1/2022,1
JB,N2_CGC,5,3,OP50,9/1/2022,2
JB,N2_CGC,5,2,OP50,9/1/2022,2
JB,N2_CGC,5,1,OP50,9/1/2022,2
JB,N2_CGC,5,4,OP50,9/1/2022,2
JB,N2_CGC,5,3,OP50,9/1/2022,2
JB,N2_CGC,5,3,OP50,9/1/2022,2
JB,N2_CGC,5,3,OP50,9/1/2022,2
JB,N2_CGC,5,4,OP50,9/1/2022,2
JB,N2_EA,5,4,OP50,9/1/2022,3
JB,N2_EA,5,3,OP50,9/1/2022,3
JB,N2_EA,5,3,OP50,9/1/2022,3
JB,N2_EA,5,3,OP50,9/1/2022,3
JB,N2_EA,5,2,OP50,9/1/2022,3
JB,N2_EA,5,5,OP50,9/1/2022,3
JB,N2_EA,5,3,OP50,9/1/2022,3
JB,N2_EA,5,2,OP50,9/1/2022,3
JB,N2_EA,5,1,OP50,9/1/2022,3
JB,N2_EA,5,2,OP50,9/1/2022,3
