 ,genotype,time_off_food,bends,food,date,plate
JB,cest-2.1,5,3.5,OP50,8/9/2022,1
JB,cest-2.1,5,3.5,OP50,8/9/2022,1
JB,cest-2.1,5,3,OP50,8/9/2022,1
JB,cest-2.1,5,2,OP50,8/9/2022,1
JB,cest-2.1,5,4.5,OP50,8/9/2022,1
JB,cest-2.1,5,4,OP50,8/9/2022,1
JB,cest-2.1,5,4,OP50,8/9/2022,1
JB,cest-2.1,5,3,OP50,8/9/2022,1
JB,cest-2.1,5,3,OP50,8/9/2022,1
JB,cest-2.1,5,3,OP50,8/9/2022,1
JB,cest-2.1,5,3.5,OP50,8/9/2022,2
JB,cest-2.1,5,4.5,OP50,8/9/2022,2
JB,cest-2.1,5,3.5,OP50,8/9/2022,2
JB,cest-2.1,5,2.5,OP50,8/9/2022,2
JB,cest-2.1,5,2.5,OP50,8/9/2022,2
JB,cest-2.1,5,3,OP50,8/9/2022,2
JB,cest-2.1,5,2,OP50,8/9/2022,2
JB,cest-2.1,5,3,OP50,8/9/2022,2
JB,cest-2.1,5,2,OP50,8/9/2022,2
JB,cest-2.1,5,2,OP50,8/9/2022,2
JB,N2,5,3.5,OP50,8/9/2022,3
JB,N2,5,3,OP50,8/9/2022,3
JB,N2,5,2.5,OP50,8/9/2022,3
JB,N2,5,3,OP50,8/9/2022,3
JB,N2,5,3.5,OP50,8/9/2022,3
JB,N2,5,3,OP50,8/9/2022,3
JB,N2,5,3,OP50,8/9/2022,3
JB,N2,5,3,OP50,8/9/2022,3
JB,N2,5,4,OP50,8/9/2022,3
JB,N2,5,2.5,OP50,8/9/2022,3
JB,N2,5,4.5,OP50,8/9/2022,4
JB,N2,5,3,OP50,8/9/2022,4
JB,N2,5,3,OP50,8/9/2022,4
JB,N2,5,3,OP50,8/9/2022,4
JB,N2,5,3.5,OP50,8/9/2022,4
JB,N2,5,4,OP50,8/9/2022,4
JB,N2,5,3,OP50,8/9/2022,4
JB,N2,5,3,OP50,8/9/2022,4
JB,N2,5,2.5,OP50,8/9/2022,4
JB,N2,5,1.5,OP50,8/9/2022,4
JB,cest-1.2,5,3.5,OP50,8/9/2022,5
JB,cest-1.2,5,1.5,OP50,8/9/2022,5
JB,cest-1.2,5,3,OP50,8/9/2022,5
JB,cest-1.2,5,3,OP50,8/9/2022,5
JB,cest-1.2,5,4,OP50,8/9/2022,5
JB,cest-1.2,5,2,OP50,8/9/2022,5
JB,cest-1.2,5,3.5,OP50,8/9/2022,5
JB,cest-1.2,5,1.5,OP50,8/9/2022,5
JB,cest-1.2,5,2.5,OP50,8/9/2022,5
JB,cest-1.2,5,3,OP50,8/9/2022,5
JB,cest-1.2,5,3,OP50,8/9/2022,6
JB,cest-1.2,5,4,OP50,8/9/2022,6
JB,cest-1.2,5,3,OP50,8/9/2022,6
JB,cest-1.2,5,3.5,OP50,8/9/2022,6
JB,cest-1.2,5,2.5,OP50,8/9/2022,6
JB,cest-1.2,5,3,OP50,8/9/2022,6
JB,cest-1.2,5,1.5,OP50,8/9/2022,6
JB,cest-1.2,5,3.5,OP50,8/9/2022,6
JB,cest-1.2,5,2.5,OP50,8/9/2022,6
JB,cest-1.2,5,3.5,OP50,8/9/2022,6
