 ,genotype,time_off_food,bends,food,date,plate
JB,cest-1.2,5,3,OP50,9/27/2022,1
JB,cest-1.2,5,3,OP50,9/27/2022,1
JB,cest-1.2,5,2,OP50,9/27/2022,1
JB,cest-1.2,5,2,OP50,9/27/2022,1
JB,cest-1.2,5,1,OP50,9/27/2022,1
JB,cest-1.2,5,2,OP50,9/27/2022,1
JB,cest-1.2,5,3,OP50,9/27/2022,1
JB,cest-1.2,5,3,OP50,9/27/2022,1
JB,cest-1.2,5,2,OP50,9/27/2022,1
JB,cest-1.2,5,3,OP50,9/27/2022,1
JB,cest-1.2,5,3,OP50,9/27/2022,2
JB,cest-1.2,5,1,OP50,9/27/2022,2
JB,cest-1.2,5,4,OP50,9/27/2022,2
JB,cest-1.2,5,2,OP50,9/27/2022,2
JB,cest-1.2,5,3,OP50,9/27/2022,2
JB,cest-1.2,5,1,OP50,9/27/2022,2
JB,cest-1.2,5,2,OP50,9/27/2022,2
JB,cest-1.2,5,3,OP50,9/27/2022,2
JB,cest-1.2,5,1,OP50,9/27/2022,2
JB,cest-1.2,5,2,OP50,9/27/2022,2
JB,cest-1.2p::cest-1.2(cDNA)::mCherry,5,2,OP50,9/27/2022,3
JB,cest-1.2p::cest-1.2(cDNA)::mCherry,5,4,OP50,9/27/2022,3
JB,cest-1.2p::cest-1.2(cDNA)::mCherry,5,1,OP50,9/27/2022,3
JB,cest-1.2p::cest-1.2(cDNA)::mCherry,5,3,OP50,9/27/2022,3
JB,cest-1.2p::cest-1.2(cDNA)::mCherry,5,4,OP50,9/27/2022,3
JB,cest-1.2p::cest-1.2(cDNA)::mCherry,5,2,OP50,9/27/2022,3
JB,cest-1.2p::cest-1.2(cDNA)::mCherry,5,3,OP50,9/27/2022,3
JB,cest-1.2p::cest-1.2(cDNA)::mCherry,5,3,OP50,9/27/2022,3
JB,cest-1.2p::cest-1.2(cDNA)::mCherry,5,3,OP50,9/27/2022,3
JB,cest-1.2p::cest-1.2(cDNA)::mCherry,5,2,OP50,9/27/2022,3
JB,cest-1.2p::cest-1.2(cDNA)::mCherry,5,4,OP50,9/27/2022,4
JB,cest-1.2p::cest-1.2(cDNA)::mCherry,5,2,OP50,9/27/2022,4
JB,cest-1.2p::cest-1.2(cDNA)::mCherry,5,3,OP50,9/27/2022,4
JB,cest-1.2p::cest-1.2(cDNA)::mCherry,5,4,OP50,9/27/2022,4
JB,cest-1.2p::cest-1.2(cDNA)::mCherry,5,2,OP50,9/27/2022,4
JB,cest-1.2p::cest-1.2(cDNA)::mCherry,5,4,OP50,9/27/2022,4
JB,cest-1.2p::cest-1.2(cDNA)::mCherry,5,4,OP50,9/27/2022,4
JB,cest-1.2p::cest-1.2(cDNA)::mCherry,5,2,OP50,9/27/2022,4
JB,cest-1.2p::cest-1.2(cDNA)::mCherry,5,3,OP50,9/27/2022,4
JB,cest-1.2p::cest-1.2(cDNA)::mCherry,5,3,OP50,9/27/2022,4
JB,N2,5,2,OP50,9/27/2022,5
JB,N2,5,3,OP50,9/27/2022,5
JB,N2,5,3,OP50,9/27/2022,5
JB,N2,5,2,OP50,9/27/2022,5
JB,N2,5,3,OP50,9/27/2022,5
JB,N2,5,4,OP50,9/27/2022,5
JB,N2,5,3,OP50,9/27/2022,5
JB,N2,5,2,OP50,9/27/2022,5
JB,N2,5,3,OP50,9/27/2022,5
JB,N2,5,3,OP50,9/27/2022,5
JB,N2,5,3,OP50,9/27/2022,6
JB,N2,5,3,OP50,9/27/2022,6
JB,N2,5,3,OP50,9/27/2022,6
JB,N2,5,4,OP50,9/27/2022,6
JB,N2,5,2,OP50,9/27/2022,6
JB,N2,5,3,OP50,9/27/2022,6
JB,N2,5,3,OP50,9/27/2022,6
JB,N2,5,4,OP50,9/27/2022,6
JB,N2,5,3,OP50,9/27/2022,6
JB,N2,5,3,OP50,9/27/2022,6
