,genotype,time_off_food,bends,omega,tail_touch,food,additive,note,date,plate
JB,cest-1.2,5,4,,N,OP50,TA,,6/30/2021,19
JB,cest-1.2,5,5,,N,OP50,TA,,6/30/2021,19
JB,cest-1.2,5,5,,N,OP50,TA,,6/30/2021,19
JB,cest-1.2,5,4,,Y,OP50,TA,,6/30/2021,19
JB,cest-1.2,5,2,,N,OP50,TA,,6/30/2021,19
JB,cest-1.2,5,4,,N,OP50,TA,,6/30/2021,19
JB,cest-1.2,5,2,,Y,OP50,TA,,6/30/2021,19
JB,cest-1.2,5,4,,Y,OP50,TA,,6/30/2021,19
JB,cest-1.2,5,5,,Y,OP50,TA,,6/30/2021,19
JB,cest-1.2,5,6,,N,OP50,TA,,6/30/2021,19
JB,cest-1.2,5,3,,N,OP50,TA,,6/30/2021,20
JB,cest-1.2,5,7,,N,OP50,TA,,6/30/2021,20
JB,cest-1.2,5,4,,N,OP50,TA,,6/30/2021,20
JB,cest-1.2,5,3,,N,OP50,TA,,6/30/2021,20
JB,cest-1.2,5,6,,Y,OP50,TA,,6/30/2021,20
JB,cest-1.2,5,2,,Y,OP50,TA,,6/30/2021,20
JB,cest-1.2,5,3,,Y,OP50,TA,,6/30/2021,20
JB,cest-1.2,5,4,,N,OP50,TA,,6/30/2021,20
JB,cest-1.2,5,5,,Y,OP50,TA,,6/30/2021,20
JB,cest-1.2,5,5,,N,OP50,TA,,6/30/2021,20
JB,N2,5,5,,N,OP50,TA,,6/30/2021,21
JB,N2,5,3,,N,OP50,TA,,6/30/2021,21
JB,N2,5,4,,N,OP50,TA,,6/30/2021,21
JB,N2,5,4,,Y,OP50,TA,,6/30/2021,21
JB,N2,5,5,,N,OP50,TA,,6/30/2021,21
JB,N2,5,5,,Y,OP50,TA,,6/30/2021,21
JB,N2,5,5,,Y,OP50,TA,,6/30/2021,21
JB,N2,5,5,,Y,OP50,TA,,6/30/2021,21
JB,N2,5,4,,Y,OP50,TA,,6/30/2021,21
