 ,genotype,time_off_food,bends,omega,tail_touch,food,additive,note,date,plate,transfer_technique,culture_conditons
JB,cest-1.2,5,5,,Y,OP50,,,9/17/2021,125,,TA
JB,cest-1.2,5,4,,N,OP50,,,9/17/2021,125,,TA
JB,cest-1.2,5,2,,Y,OP50,,,9/17/2021,125,,TA
JB,cest-1.2,5,1,,Y,OP50,,,9/17/2021,125,,TA
JB,cest-1.2,5,3,,N,OP50,,,9/17/2021,125,,TA
JB,cest-1.2,5,3,,Y,OP50,,,9/17/2021,125,,TA
JB,cest-1.2,5,3,,Y,OP50,,,9/17/2021,125,,TA
JB,cest-1.2,5,4,,N,OP50,,,9/17/2021,125,,TA
JB,cest-1.2,5,3,,Y,OP50,,,9/17/2021,125,,TA
JB,cest-1.2,5,4,,Y,OP50,,,9/17/2021,126,,TA
JB,cest-1.2,5,3,,Y,OP50,,,9/17/2021,126,,TA
JB,cest-1.2,5,3,,Y,OP50,,,9/17/2021,126,,TA
JB,cest-1.2,5,3,,Y,OP50,,,9/17/2021,126,,TA
JB,cest-1.2,5,3,,Y,OP50,,,9/17/2021,126,,TA
JB,cest-1.2,5,1,,Y,OP50,,,9/17/2021,126,,TA
JB,cest-1.2,5,3,,Y,OP50,,,9/17/2021,126,,TA
JB,cest-1.2,5,4,,N,OP50,,,9/17/2021,126,,TA
JB,cest-1.2,5,2,,Y,OP50,,,9/17/2021,126,,TA
JB,cest-1.2,5,2,,Y,OP50,,,9/17/2021,126,,TA
JB,N2,5,3,,Y,OP50,,,9/17/2021,127,,TA
JB,N2,5,2,,Y,OP50,,,9/17/2021,127,,TA
JB,N2,5,1,,Y,OP50,,,9/17/2021,127,,TA
JB,N2,5,3,,Y,OP50,,,9/17/2021,127,,TA
JB,N2,5,2,,Y,OP50,,,9/17/2021,127,,TA
JB,N2,5,1,,Y,OP50,,,9/17/2021,127,,TA
JB,N2,5,3,,Y,OP50,,,9/17/2021,127,,TA
JB,N2,5,3,,Y,OP50,,,9/17/2021,127,,TA
JB,N2,5,2,,Y,OP50,,,9/17/2021,127,,TA
JB,N2,5,3,,Y,OP50,,,9/17/2021,127,,TA
JB,N2,5,8,,Y,OP50,,,9/17/2021,128,,TA
JB,N2,5,5,,Y,OP50,,,9/17/2021,128,,TA
JB,N2,5,3,,Y,OP50,,,9/17/2021,128,,TA
JB,N2,5,3,,Y,OP50,,,9/17/2021,128,,TA
JB,N2,5,2,,Y,OP50,,,9/17/2021,128,,TA
JB,N2,5,5,,Y,OP50,,,9/17/2021,128,,TA
JB,N2,5,3,,Y,OP50,,,9/17/2021,128,,TA
JB,N2,5,5,,N,OP50,,,9/17/2021,128,,TA
JB,N2,5,2,,N,OP50,,,9/17/2021,128,,TA
JB,N2,5,2,,Y,OP50,,,9/17/2021,128,,TA
JB,cest-1.2,5,2,,Y,OP50,,,9/17/2021,129,,H2O
