 ,genotype,time_off_food,food,date,plate,length_mm,start_frame,end_frame,frames,speed_mm/sec,time_sec,,,note
JB,N2,5,OP50,6/30/2022,1,0.596,,,9,0.264888889,2.25,,,extra time off food/getting used to new setup
JB,N2,5,OP50,6/30/2022,1,0.841,,,11,0.305818182,2.75,,,extra time off food/getting used to new setup
JB,N2,5,OP50,6/30/2022,1,1.255,518,534,16,0.31375,4,,,extra time off food/getting used to new setup
JB,N2,5,OP50,6/30/2022,1,1.259,578,595,17,0.296235294,4.25,,,extra time off food/getting used to new setup
JB,N2,5,OP50,6/30/2022,1,0.694,647,662,15,0.185066667,3.75,,,extra time off food/getting used to new setup
JB,N2,5,OP50,6/30/2022,1,0.745,761,770,9,0.331111111,2.25,,,extra time off food/getting used to new setup
JB,N2,5,OP50,6/30/2022,1,1.881,845,875,30,0.2508,7.5,,,extra time off food/getting used to new setup
JB,N2,5,OP50,6/30/2022,1,1.048,928,943,15,0.279466667,3.75,,,extra time off food/getting used to new setup
JB,N2,5,OP50,6/30/2022,1,1.123,1005,1019,14,0.320857143,3.5,,,extra time off food/getting used to new setup
JB,N2,5,OP50,6/30/2022,1,1.488,1053,1073,20,0.2976,5,,,extra time off food/getting used to new setup
JB,cest-1.2,5,OP50,6/30/2022,2,1.107,115,132,17,0.260470588,4.25,,,extra time off food/getting used to new setup
JB,cest-1.2,5,OP50,6/30/2022,2,2.092,201,227,26,0.321846154,6.5,,,extra time off food/getting used to new setup
JB,cest-1.2,5,OP50,6/30/2022,2,1.679,265,291,26,0.258307692,6.5,,,extra time off food/getting used to new setup
JB,cest-1.2,5,OP50,6/30/2022,2,1.619,339,363,24,0.269833333,6,,,extra time off food/getting used to new setup
JB,cest-1.2,5,OP50,6/30/2022,2,1.312,391,414,23,0.228173913,5.75,,,extra time off food/getting used to new setup
JB,cest-1.2,5,OP50,6/30/2022,2,1.244,577,594,17,0.292705882,4.25,,,extra time off food/getting used to new setup
JB,cest-1.2,5,OP50,6/30/2022,2,1.59,617,655,38,0.167368421,9.5,,,extra time off food/getting used to new setup
JB,cest-1.2,5,OP50,6/30/2022,2,1.771,692,714,22,0.322,5.5,,,extra time off food/getting used to new setup
JB,cest-1.2,5,OP50,6/30/2022,2,1.49,786,806,20,0.298,5,,,extra time off food/getting used to new setup
JB,cest-1.2,5,OP50,6/30/2022,2,1.013,881,899,18,0.225111111,4.5,,,extra time off food/getting used to new setup
JB,cest-1.2,5,OP50,6/30/2022,2,1.276,950,969,19,0.268631579,4.75,,,extra time off food/getting used to new setup
JB,N2,5,OP50,6/30/2022,3,0.915,81,104,23,0.159130435,5.75,,,
JB,N2,5,OP50,6/30/2022,3,0.791,176,192,16,0.19775,4,,,
JB,N2,5,OP50,6/30/2022,3,1.492,220,243,23,0.259478261,5.75,,,
JB,N2,5,OP50,6/30/2022,3,0.894,312,324,12,0.298,3,,,
JB,N2,5,OP50,6/30/2022,3,1.069,402,416,14,0.305428571,3.5,,,
JB,N2,5,OP50,6/30/2022,3,1.756,454,482,28,0.250857143,7,,,
JB,N2,5,OP50,6/30/2022,3,0.972,563,576,13,0.299076923,3.25,,,
JB,N2,5,OP50,6/30/2022,3,1.273,737,753,16,0.31825,4,,,
JB,N2,5,OP50,6/30/2022,3,1.272,771,789,18,0.282666667,4.5,,,
JB,N2,5,OP50,6/30/2022,3,1.136,840,857,17,0.267294118,4.25,,,
JB,cest-1.2,5,OP50,6/30/2022,4,0.53,45,52,7,0.302857143,1.75,,,
JB,cest-1.2,5,OP50,6/30/2022,4,0.977,80,97,17,0.229882353,4.25,,,
JB,cest-1.2,5,OP50,6/30/2022,4,0.749,135,146,11,0.272363636,2.75,,,
JB,cest-1.2,5,OP50,6/30/2022,4,1.507,203,224,21,0.287047619,5.25,,,
JB,cest-1.2,5,OP50,6/30/2022,4,1.171,264,279,15,0.312266667,3.75,,,
JB,cest-1.2,5,OP50,6/30/2022,4,1.225,333,350,17,0.288235294,4.25,,,
JB,cest-1.2,5,OP50,6/30/2022,4,0.994,387,400,13,0.305846154,3.25,,,
JB,cest-1.2,5,OP50,6/30/2022,4,0.906,439,453,14,0.258857143,3.5,,,
JB,cest-1.2,5,OP50,6/30/2022,4,1.509,523,543,20,0.3018,5,,,
JB,cest-1.2,5,OP50,6/30/2022,4,0.96,628,643,15,0.256,3.75,,,
JB,cest-1.2,5,OP50,6/30/2022,4,1.057,664,678,14,0.302,3.5,,,
JB,cest-1.2,5,OP50,6/30/2022,4,1.406,700,721,21,0.267809524,5.25,,,
