Genotype,Time_Off_Food,Bagged,Bagged_Previous,Alive,Percent_Bagged,Date
,,,(sum of all previous rows),,percent= (bagged+ bagged previous)/(bagged+ bagged previous + alive),
N2,20,0,0,29,0,
cest-1.2,20,0,0,23,0,
ugt-64,20,0,0,28,0,
glo-1,20,0,0,27,0,
N2_Indole,20,0,0,21,0,
cest-1.2_Indole,20,0,0,20,0,
N2,27,5,0,23,17.85714286,
cest-1.2,27,6,0,16,27.27272727,
ugt-64,27,2,0,26,7.142857143,
glo-1,27,8,0,20,28.57142857,
N2_Indole,27,0,0,21,0,
cest-1.2_Indole,27,5,0,16,23.80952381,
N2,43,18,5,2,92,
cest-1.2,43,12,6,1,94.73684211,
ugt-64,43,23,2,1,96.15384615,
glo-1,43,19,8,1,96.42857143,
N2_Indole,43,15,0,1,93.75,
cest-1.2_Indole,43,15,5,3,86.95652174,
N2,20.5,0,0,29,0,12/15/2022
cest-1.2,20.5,1,0,23,4.166666667,12/15/2022
ugt-64,20.5,0,0,30,0,12/15/2022
N2_Indole,20.5,0,0,24,0,12/15/2022
cest-1.2_Indole,20.5,0,0,26,0,12/15/2022
N2,22.5,0,0,30,0,12/15/2022
cest-1.2,22.5,0,1,22,4.347826087,12/15/2022
ugt-64,22.5,1,0,29,3.333333333,12/15/2022
N2_Indole,22.5,0,0,23,0,12/15/2022
cest-1.2_Indole,22.5,0,0,25,0,12/15/2022
N2,24.5,0,0,26,0,12/15/2022
cest-1.2,24.5,3,1,19,17.39130435,12/15/2022
ugt-64,24.5,1,1,27,6.896551724,12/15/2022
N2_Indole,24.5,0,0,23,0,12/15/2022
cest-1.2_Indole,24.5,0,0,23,0,12/15/2022
N2,26.5,2,0,28,6.666666667,12/15/2022
cest-1.2,26.5,7,4,11,50,12/15/2022
ugt-64,26.5,2,2,24,14.28571429,12/15/2022
N2_Indole,26.5,0,0,24,0,12/15/2022
cest-1.2_Indole,26.5,6,0,14,30,12/15/2022
N2,28.5,7,2,19,32.14285714,12/15/2022
cest-1.2,28.5,5,11,6,72.72727273,12/15/2022
ugt-64,28.5,14,4,8,69.23076923,12/15/2022
N2_Indole,28.5,5,0,18,21.73913043,12/15/2022
cest-1.2_Indole,28.5,10,6,5,76.19047619,12/15/2022
N2,30.5,8,9,9,65.38461538,12/15/2022
cest-1.2,30.5,4,16,2,90.90909091,12/15/2022
ugt-64,30.5,6,18,3,88.88888889,12/15/2022
N2_Indole,30.5,3,5,14,36.36363636,12/15/2022
cest-1.2_Indole,30.5,6,16,5,81.48148148,12/15/2022
N2,32.5,6,17,5,82.14285714,12/15/2022
cest-1.2,32.5,2,20,0,100,12/15/2022
ugt-64,32.5,2,24,1,96.2962963,12/15/2022
N2_Indole,32.5,4,8,11,52.17391304,12/15/2022
cest-1.2_Indole,32.5,2,22,2,92.30769231,12/15/2022
N2,34.5,5,23,0,100,12/15/2022
cest-1.2,34.5,0,22,0,100,12/15/2022
ugt-64,34.5,1,26,0,100,12/15/2022
N2_Indole,34.5,5,12,7,70.83333333,12/15/2022
cest-1.2_Indole,34.5,1,24,1,96.15384615,12/15/2022
N2,35,0,28,0,100,12/15/2022
cest-1.2,35,0,22,0,100,12/15/2022
ugt-64,35,0,27,0,100,12/15/2022
N2_Indole,35,0,17,6,73.91304348,12/15/2022
cest-1.2_Indole,35,1,25,1,96.2962963,12/15/2022
