 ,genotype,time_off_food,bends,omega,tail_touch,food,additive,note,date,plate,transfer_technique,culture_conditons
JB,N2,5,5,Y,N,OP50,,,6/2/2021,1,,none
JB,N2,5,6,Y,Y,OP50,,,6/2/2021,1,,none
JB,N2,5,2,Y,Y,OP50,,,6/2/2021,1,,none
JB,N2,5,6,Y,Y,OP50,,,6/2/2021,1,,none
JB,N2,5,3,Y,N,OP50,,,6/2/2021,1,,none
JB,N2,5,4,Y,Y,OP50,,,6/2/2021,1,,none
JB,N2,5,4,Y,Y,OP50,,,6/2/2021,1,,none
JB,N2,5,4,Y,Y,OP50,,,6/2/2021,1,,none
JB,N2,5,4,Y,Y,OP50,,,6/2/2021,1,,none
JB,cest-1.2,5,2,Y,N,OP50,,,6/2/2021,2,,none
JB,cest-1.2,5,4,Y,N,OP50,,,6/2/2021,2,,none
JB,cest-1.2,5,3,Y,N,OP50,,,6/2/2021,2,,none
JB,cest-1.2,5,4,Y,Y,OP50,,,6/2/2021,2,,none
JB,cest-1.2,5,4,Y,Y,OP50,,,6/2/2021,2,,none
JB,cest-1.2,5,6,Y,Y,OP50,,,6/2/2021,2,,none
JB,cest-1.2,5,3,Y,Y,OP50,,,6/2/2021,2,,none
JB,cest-1.2,5,5,Y,Y,OP50,,,6/2/2021,2,,none
JB,cest-1.2,5,4,Y,Y,OP50,,,6/2/2021,2,,none
JB,cest-1.2,5,3,Y,N,OP50,,,6/2/2021,2,,none
JB,N2,30,6,Y,Y,OP50,,,6/2/2021,1,,none
JB,N2,30,3,Y,Y,OP50,,,6/2/2021,1,,none
JB,N2,30,10,Y,Y,OP50,,,6/2/2021,1,,none
JB,N2,30,5,Y,Y,OP50,,,6/2/2021,1,,none
JB,N2,30,6,Y,Y,OP50,,,6/2/2021,1,,none
JB,N2,30,5,Y,Y,OP50,,,6/2/2021,1,,none
JB,N2,30,5,Y,N,OP50,,,6/2/2021,1,,none
JB,N2,30,6,Y,N,OP50,,,6/2/2021,1,,none
