 ,genotype,time_off_food,bends,omega,tail_touch,food,additive,note,date,plate,transfer_technique,culture_conditons
JB,N2,5,5,,N,OP50,EtOH,,11/4/2021,145,,none
JB,N2,5,5,,Y,OP50,EtOH,,11/4/2021,145,,none
JB,N2,5,4,,Y,OP50,EtOH,,11/4/2021,145,,none
JB,N2,5,4,,Y,OP50,EtOH,,11/4/2021,145,,none
JB,N2,5,1,,Y,OP50,EtOH,,11/4/2021,145,,none
JB,N2,5,4,,Y,OP50,EtOH,,11/4/2021,145,,none
JB,N2,5,3,,Y,OP50,EtOH,,11/4/2021,145,,none
JB,N2,5,5,,Y,OP50,EtOH,,11/4/2021,145,,none
JB,N2,5,5,,Y,OP50,EtOH,,11/4/2021,145,,none
JB,N2,5,4,,Y,OP50,EtOH,,11/4/2021,145,,none
JB,N2,5,3,,Y,OP50,EtOH,,11/4/2021,146,,none
JB,N2,5,4,,N,OP50,EtOH,,11/4/2021,146,,none
JB,N2,5,1,,Y,OP50,EtOH,,11/4/2021,146,,none
JB,N2,5,2,,Y,OP50,EtOH,,11/4/2021,146,,none
JB,N2,5,3,,Y,OP50,EtOH,,11/4/2021,146,,none
JB,N2,5,4,,N,OP50,EtOH,,11/4/2021,146,,none
JB,N2,5,3,,Y,OP50,EtOH,,11/4/2021,146,,none
JB,N2,5,6,,Y,OP50,EtOH,,11/4/2021,146,,none
JB,cest-1.2,5,4,,Y,OP50,Indole_0.1,,11/4/2021,147,,none
JB,cest-1.2,5,4,,Y,OP50,Indole_0.1,,11/4/2021,147,,none
JB,cest-1.2,5,2,,Y,OP50,Indole_0.1,,11/4/2021,147,,none
JB,cest-1.2,5,4,,Y,OP50,Indole_0.1,,11/4/2021,147,,none
JB,cest-1.2,5,3,,N,OP50,Indole_0.1,,11/4/2021,147,,none
JB,cest-1.2,5,2,,Y,OP50,Indole_0.1,,11/4/2021,147,,none
JB,cest-1.2,5,4,,N,OP50,Indole_0.1,,11/4/2021,147,,none
JB,cest-1.2,5,4,,N,OP50,Indole_0.1,,11/4/2021,147,,none
JB,cest-1.2,5,4,,Y,OP50,Indole_0.1,,11/4/2021,147,,none
JB,cest-1.2,5,4,,N,OP50,Indole_0.1,,11/4/2021,147,,none
JB,cest-1.2,5,4,,Y,OP50,Indole_0.1,,11/4/2021,148,,none
JB,cest-1.2,5,4,,Y,OP50,Indole_0.1,,11/4/2021,148,,none
JB,cest-1.2,5,2,,Y,OP50,Indole_0.1,,11/4/2021,148,,none
JB,cest-1.2,5,5,,Y,OP50,Indole_0.1,,11/4/2021,148,,none
