 ,code,genotype,time_off_food,bends,condition,date,plate,transfer_technique
JB,A,N2,5,3,BW,7/15/2022,1,direct (no bleach)
JB,A,N2,5,2,BW,7/15/2022,1,direct (no bleach)
JB,A,N2,5,3,BW,7/15/2022,1,direct (no bleach)
JB,A,N2,5,3,BW,7/15/2022,1,direct (no bleach)
JB,A,N2,5,2,BW,7/15/2022,1,direct (no bleach)
JB,A,N2,5,3,BW,7/15/2022,1,direct (no bleach)
JB,A,N2,5,2,BW,7/15/2022,1,direct (no bleach)
JB,A,N2,5,3,BW,7/15/2022,1,direct (no bleach)
JB,A,N2,5,3,BW,7/15/2022,1,direct (no bleach)
JB,A,N2,5,3,BW,7/15/2022,1,direct (no bleach)
JB,A,N2,5,2,BW,7/15/2022,2,direct (no bleach)
JB,A,N2,5,2,BW,7/15/2022,2,direct (no bleach)
JB,A,N2,5,3,BW,7/15/2022,2,direct (no bleach)
JB,A,N2,5,2,BW,7/15/2022,2,direct (no bleach)
JB,A,N2,5,3,BW,7/15/2022,2,direct (no bleach)
JB,A,N2,5,2,BW,7/15/2022,2,direct (no bleach)
JB,A,N2,5,2,BW,7/15/2022,2,direct (no bleach)
JB,A,N2,5,3,BW,7/15/2022,2,direct (no bleach)
JB,A,N2,5,2,BW,7/15/2022,2,direct (no bleach)
JB,B,N2,5,2,BW,7/15/2022,2,direct (no bleach)
JB,B,N2,5,2,tnaA,7/15/2022,3,direct (no bleach)
JB,B,N2,5,2,tnaA,7/15/2022,3,direct (no bleach)
JB,B,N2,5,2,tnaA,7/15/2022,3,direct (no bleach)
JB,B,N2,5,2,tnaA,7/15/2022,3,direct (no bleach)
JB,B,N2,5,3,tnaA,7/15/2022,3,direct (no bleach)
JB,B,N2,5,2,tnaA,7/15/2022,3,direct (no bleach)
JB,B,N2,5,2,tnaA,7/15/2022,3,direct (no bleach)
JB,B,N2,5,2,tnaA,7/15/2022,3,direct (no bleach)
JB,B,N2,5,3,tnaA,7/15/2022,3,direct (no bleach)
JB,B,N2,5,3,tnaA,7/15/2022,3,direct (no bleach)
JB,B,N2,5,3,tnaA,7/15/2022,4,direct (no bleach)
JB,B,N2,5,3,tnaA,7/15/2022,4,direct (no bleach)
JB,B,N2,5,2,tnaA,7/15/2022,4,direct (no bleach)
JB,B,N2,5,5,tnaA,7/15/2022,4,direct (no bleach)
JB,B,N2,5,2,tnaA,7/15/2022,4,direct (no bleach)
JB,B,N2,5,2,tnaA,7/15/2022,4,direct (no bleach)
JB,B,N2,5,5,tnaA,7/15/2022,4,direct (no bleach)
JB,B,N2,5,1,tnaA,7/15/2022,4,direct (no bleach)
JB,B,N2,5,4,tnaA,7/15/2022,4,direct (no bleach)
JB,B,N2,5,2,tnaA,7/15/2022,4,direct (no bleach)
JB,C,cest-1.2,5,3,BW,7/15/2022,5,direct (no bleach)
JB,C,cest-1.2,5,2,BW,7/15/2022,5,direct (no bleach)
JB,C,cest-1.2,5,1,BW,7/15/2022,5,direct (no bleach)
JB,C,cest-1.2,5,2,BW,7/15/2022,5,direct (no bleach)
JB,C,cest-1.2,5,2,BW,7/15/2022,5,direct (no bleach)
JB,C,cest-1.2,5,3,BW,7/15/2022,5,direct (no bleach)
JB,C,cest-1.2,5,3,BW,7/15/2022,5,direct (no bleach)
JB,C,cest-1.2,5,3,BW,7/15/2022,5,direct (no bleach)
JB,C,cest-1.2,5,3,BW,7/15/2022,5,direct (no bleach)
JB,C,cest-1.2,5,3,BW,7/15/2022,5,direct (no bleach)
JB,C,cest-1.2,5,3,BW,7/15/2022,6,direct (no bleach)
JB,C,cest-1.2,5,3,BW,7/15/2022,6,direct (no bleach)
JB,C,cest-1.2,5,1,BW,7/15/2022,6,direct (no bleach)
JB,C,cest-1.2,5,2,BW,7/15/2022,6,direct (no bleach)
JB,C,cest-1.2,5,3,BW,7/15/2022,6,direct (no bleach)
JB,C,cest-1.2,5,3,BW,7/15/2022,6,direct (no bleach)
JB,C,cest-1.2,5,3,BW,7/15/2022,6,direct (no bleach)
JB,C,cest-1.2,5,3,BW,7/15/2022,6,direct (no bleach)
JB,C,cest-1.2,5,1,BW,7/15/2022,6,direct (no bleach)
JB,D,cest-1.2,5,3,tnaA,7/15/2022,7,direct (no bleach)
JB,D,cest-1.2,5,4,tnaA,7/15/2022,7,direct (no bleach)
JB,D,cest-1.2,5,3,tnaA,7/15/2022,7,direct (no bleach)
JB,D,cest-1.2,5,2,tnaA,7/15/2022,7,direct (no bleach)
JB,D,cest-1.2,5,2,tnaA,7/15/2022,7,direct (no bleach)
JB,D,cest-1.2,5,2,tnaA,7/15/2022,7,direct (no bleach)
JB,D,cest-1.2,5,7,tnaA,7/15/2022,7,direct (no bleach)
JB,D,cest-1.2,5,3,tnaA,7/15/2022,7,direct (no bleach)
JB,D,cest-1.2,5,3,tnaA,7/15/2022,7,direct (no bleach)
JB,D,cest-1.2,5,2,tnaA,7/15/2022,8,direct (no bleach)
JB,D,cest-1.2,5,2,tnaA,7/15/2022,8,direct (no bleach)
JB,D,cest-1.2,5,4,tnaA,7/15/2022,8,direct (no bleach)
JB,D,cest-1.2,5,3,tnaA,7/15/2022,8,direct (no bleach)
JB,D,cest-1.2,5,3,tnaA,7/15/2022,8,direct (no bleach)
JB,D,cest-1.2,5,2,tnaA,7/15/2022,8,direct (no bleach)
JB,D,cest-1.2,5,3,tnaA,7/15/2022,8,direct (no bleach)
JB,D,cest-1.2,5,3,tnaA,7/15/2022,8,direct (no bleach)
JB,D,cest-1.2,5,3,tnaA,7/15/2022,8,direct (no bleach)
JB,D,cest-1.2,5,3,tnaA,7/15/2022,8,direct (no bleach)
JB,E,cest-1.2,5,3,tnaA (0.5mM indole),7/15/2022,9,direct (no bleach)
JB,E,cest-1.2,5,3,tnaA (0.5mM indole),7/15/2022,9,direct (no bleach)
JB,E,cest-1.2,5,3,tnaA (0.5mM indole),7/15/2022,9,direct (no bleach)
JB,E,cest-1.2,5,2,tnaA (0.5mM indole),7/15/2022,9,direct (no bleach)
JB,E,cest-1.2,5,3,tnaA (0.5mM indole),7/15/2022,9,direct (no bleach)
JB,E,cest-1.2,5,4,tnaA (0.5mM indole),7/15/2022,9,direct (no bleach)
JB,E,cest-1.2,5,2,tnaA (0.5mM indole),7/15/2022,9,direct (no bleach)
JB,E,cest-1.2,5,4,tnaA (0.5mM indole),7/15/2022,9,direct (no bleach)
JB,E,cest-1.2,5,4,tnaA (0.5mM indole),7/15/2022,9,direct (no bleach)
JB,E,cest-1.2,5,4,tnaA (0.5mM indole),7/15/2022,9,direct (no bleach)
JB,E,cest-1.2,5,3,tnaA (0.5mM indole),7/15/2022,10,direct (no bleach)
JB,E,cest-1.2,5,2,tnaA (0.5mM indole),7/15/2022,10,direct (no bleach)
JB,E,cest-1.2,5,3,tnaA (0.5mM indole),7/15/2022,10,direct (no bleach)
JB,E,cest-1.2,5,3,tnaA (0.5mM indole),7/15/2022,10,direct (no bleach)
JB,E,cest-1.2,5,1,tnaA (0.5mM indole),7/15/2022,10,direct (no bleach)
JB,E,cest-1.2,5,2,tnaA (0.5mM indole),7/15/2022,10,direct (no bleach)
JB,E,cest-1.2,5,3,tnaA (0.5mM indole),7/15/2022,10,direct (no bleach)
JB,E,cest-1.2,5,3,tnaA (0.5mM indole),7/15/2022,10,direct (no bleach)
JB,E,cest-1.2,5,2,tnaA (0.5mM indole),7/15/2022,10,direct (no bleach)
JB,E,cest-1.2,5,3,tnaA (0.5mM indole),7/15/2022,10,direct (no bleach)
JB,F,N2,5,2,tnaA (0.5mM indole),7/15/2022,11,direct (no bleach)
JB,F,N2,5,4,tnaA (0.5mM indole),7/15/2022,11,direct (no bleach)
JB,F,N2,5,2,tnaA (0.5mM indole),7/15/2022,11,direct (no bleach)
JB,F,N2,5,4,tnaA (0.5mM indole),7/15/2022,11,direct (no bleach)
JB,F,N2,5,2,tnaA (0.5mM indole),7/15/2022,11,direct (no bleach)
JB,F,N2,5,1,tnaA (0.5mM indole),7/15/2022,11,direct (no bleach)
JB,F,N2,5,4,tnaA (0.5mM indole),7/15/2022,11,direct (no bleach)
JB,F,N2,5,2,tnaA (0.5mM indole),7/15/2022,11,direct (no bleach)
JB,F,N2,5,3,tnaA (0.5mM indole),7/15/2022,11,direct (no bleach)
JB,F,N2,5,2,tnaA (0.5mM indole),7/15/2022,11,direct (no bleach)
JB,F,N2,5,3,tnaA (0.5mM indole),7/15/2022,12,direct (no bleach)
JB,F,N2,5,3,tnaA (0.5mM indole),7/15/2022,12,direct (no bleach)
JB,F,N2,5,1,tnaA (0.5mM indole),7/15/2022,12,direct (no bleach)
JB,F,N2,5,2,tnaA (0.5mM indole),7/15/2022,12,direct (no bleach)
JB,F,N2,5,2,tnaA (0.5mM indole),7/15/2022,12,direct (no bleach)
JB,F,N2,5,3,tnaA (0.5mM indole),7/15/2022,12,direct (no bleach)
JB,F,N2,5,4,tnaA (0.5mM indole),7/15/2022,12,direct (no bleach)
